Data,Tipo,Likes,Commenti,Condivisioni,Tema,Reazioni
2025-02-10,carosello,10500,12,149,Fact_Estero,Positiva
2025-02-10,carosello,11000,51,154,FunFact_Estero,Positiva
2025-02-11,carosello,6228,179,361,Fact_Estero,Negativa
2025-02-11,carosello,5089,215,191,FunFact_Italia,Positiva
2025-02-11,video,1477,14,5,Fact_Italia,Negativa
2025-02-12,carosello,10100,66,471,Fact_Italia,Negativa
2025-02-12,carosello,53100,249,2666,Fact_Italia,Positiva
2025-02-12,video,22700,27,9,Fact_Italia,Positiva
2025-02-13,carosello,2442,75,18,Fact_Estero,Negativa
2025-02-13,carosello,32500,198,1454,Fact_Italia,Positiva
2025-02-13,carosello,14200,48,133,FunFact,Positiva
2025-02-14,carosello,3558,71,25,Fact_Estero,Negativa
2025-02-14,carosello,16100,35,850,FunFact,Positiva
2025-02-14,video,45300,895,1043,Fact_Italia,Positiva
2025-02-15,carosello,4578,23,67,Fact_Italia,Negativa
2025-02-15,carosello,5161,21,96,FunFact,Negativa
2025-02-15,video,10700,168,30,FunFact_Italia,Negativa
2025-02-16,img,10700,240,156,Fact_Italia,Negativa
2025-02-16,video,8500,37,11,Fact_Italia,Positiva
2025-02-16,carosello,63700,66,180,FunFact,Positiva
2025-02-16,carosello,6131,53,90,Fact_Italia,Negativa
2025-02-17,carosello,6573,44,87,Fact_Estero,Negativa
2025-02-17,carosello,58500,295,4247,FunFact,Positiva
2025-02-17,carosello,23100,78,638,Fact_Italia,Positiva
2025-02-18,video,2903,74,28,FunFact_Italia,Positiva
2025-02-18,video,2487,77,21,Fact_Italia,Negativa
2025-02-19,carosello,4394,107,64,Fact_Estero,Negativa
2025-02-19,video,51700,378,553,FunFact,Positiva
2025-02-19,carosello,17200,247,2885,FunFact,Negativa
2025-02-20,carosello,125,175,180,Fact_Estero,Positiva
2025-02-20,carosello,4154,44,219,FunFact,Positiva
2025-02-20,carosello,28700,166,155,FunFact,Negativa
2025-02-21,video,1944,64,93,Fact_Estero,Positiva
2025-02-21,video,2767,182,56,Fact_Estero,Negativa
2025-02-22,carosello,5306,170,128,Fact_Estero,Negativa
2025-02-22,carosello,12800,213,298,FunFact,Positiva
2025-02-22,carosello,12200,245,549,FunFact,Positiva
2025-02-23,video,8833,115,84,FunFact,Positiva
2025-02-23,carosello,7965,61,109,Fact_Italia,Negativa
2025-02-23,carosello,4093,104,69,Fact_Estero,Positiva
2025-02-24,carosello,7598,23,419,FunFact,Positiva
2025-02-24,carosello,5122,6,59,Fact_Estero,Negativa
2025-02-24,video,2854,126,44,Fact_Estero,Negativa
2025-02-25,carosello,7895,289,181,Fact_Italia,Positiva
2025-02-25,video,1418,18,5,FunFact,Positiva
2025-02-25,video,4387,111,126,Fact_Italia,Negativa
2025-02-26,video,12700,1190,1965,Fact_Estero,Negativa
2025-02-26,video,1600,117,8,FunFact,Negativa
2025-02-26,carosello,33600,528,3946,Fact_Estero,Negativa
2025-02-27,carosello,8437,445,327,Fact_Italia,Negativa
2025-02-27,carosello,3270,104,83,FunFact,Positiva
2025-02-27,carosello,12900,32,627,FunFact,Negativa
2025-02-28,carosello,8218,142,427,Fact_Estero,Negativa
2025-02-28,carosello,3282,22,4,FunFact,Positiva
2025-02-28,carosello,7715,46,62,FunFact,Positiva
2025-02-28,carosello,15500,577,269,Fact_Estero,Negativa
